name	x	y	z	size	type	material	manufacturer
LAOFr1	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
LAOFr2	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
LAOFr3	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
LAOFr4	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
LAOFr7	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
LAOFr8	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
LAOFr9	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
LAOFr10	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
LPOFr1	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
LPOFr2	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
LPOFr3	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
LPOFr4	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
LPOFr5	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
LPOFr6	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
LPOFr7	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
LPOFr8	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
LPOFr9	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
LPOFr10	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
LAF11	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
LAF12	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
LAF13	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
LAF14	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
LAF15	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
LAF16	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
LAF17	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
LAF18	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
LAF19	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
LAF110	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
LPF11	n/a	n/a	n/a	1.3	depth	Platinum	AdTech
