name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	reference	group
LAOFr1	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAOFr
LAOFr2	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAOFr
LAOFr3	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAOFr
LAOFr4	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAOFr
LAOFr7	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAOFr
LAOFr8	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAOFr
LAOFr9	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAOFr
LAOFr10	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAOFr
LPOFr1	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPOFr
LPOFr2	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPOFr
LPOFr3	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPOFr
LPOFr4	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPOFr
LPOFr5	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPOFr
LPOFr6	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPOFr
LPOFr7	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPOFr
LPOFr8	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPOFr
LPOFr9	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPOFr
LPOFr10	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPOFr
LAF11	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAF
LAF12	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAF
LAF13	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAF
LAF14	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAF
LAF15	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAF
LAF16	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAF
LAF17	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAF
LAF18	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAF
LAF19	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAF
LAF110	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAF
LPF11	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPF
LPF12	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPF
LPF13	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPF
LPF14	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPF
LPF15	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPF
LPF16	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPF
LPF17	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPF
LPF18	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPF
LPF19	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPF
LPF110	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPF
LAF21	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAF
LAF22	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAF
LAF23	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAF
LAF24	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAF
LAF25	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAF
LAF26	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAF
LAF27	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAF
LAF28	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAF
LAF29	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAF
LAF210	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAF
LPF21	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPF
LPF22	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPF
LPF23	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPF
LPF24	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPF
LPF25	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPF
LPF26	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPF
LPF27	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPF
LPF28	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPF
LPF29	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPF
LPF210	SEEG	μV	n/a	0.0	1024	n/a	n/a	LPF
LAIn1	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAIn
LAIn2	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAIn
LAIn3	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAIn
LAIn4	SEEG	μV	n/a	0.0	1024	n/a	n/a	LAIn
